
Имя файла: Фауст.txt  |  Текст: и  |  Количество раз: 1428
Имя файла: Шантарам.txt  |  Текст: и  |  Количество раз: 2675
Имя файла: Фауст.txt  |  Текст: и  |  Количество раз: 1428
Имя файла: Ученик.txt  |  Текст: и  |  Количество раз: 77
Имя файла: Фауст.txt  |  Текст: И  |  Количество раз: 945
Имя файла: Сила подсознания, или Как изменить жизнь за 4 недели.txt  |  Текст: когда  |  Количество раз: 52
Имя файла: Тонкое искусство пофигизма. Парадоксальный способ жить счастливо.txt  |  Текст: когда  |  Количество раз: 16
Имя файла: Язык телодвижений. Как читать мысли окружающих по их жестам.txt  |  Текст: когда  |  Количество раз: 142
Имя файла: Шантарам.txt  |  Текст: и  |  Количество раз: 2675
Имя файла: Шантарам.txt  |  Текст: Да  |  Количество раз: 16
Имя файла: Шантарам.txt  |  Текст: когда  |  Количество раз: 154
Имя файла: Шантарам.txt  |  Текст: и  |  Количество раз: 2675
Имя файла: Шантарам.txt  |  Текст: да  |  Количество раз: 64
Имя файла: Фауст.txt  |  Текст: и  |  Количество раз: 1428
Имя файла: Фауст.txt  |  Текст: да  |  Количество раз: 46
