Имя файла: result.txt  |  Текст: и  |  Количество раз: 4
Имя файла: Анна Каренина.txt  |  Текст: и  |  Количество раз: 12429
Имя файла: Sapiens. Краткая история человечества.txt  |  Текст: и  |  Количество раз: 1263
Имя файла: #В постели с твоим мужем. Записки любовницы. Женам читать обязательно!.txt  |  Текст: и  |  Количество раз: 9
Имя файла: threadResult.txt  |  Текст: и  |  Количество раз: 0
Имя файла: Белые ночи.txt  |  Текст: и  |  Количество раз: 583
Имя файла: Бедная Лиза.txt  |  Текст: и  |  Количество раз: 7270
Имя файла: Братья Карамазовы.txt  |  Текст: и  |  Количество раз: 13479
Имя файла: Бродяга.txt  |  Текст: и  |  Количество раз: 2554
Имя файла: Бывшие. Книга о том, как класть на тех, кто хотел класть на тебя.txt  |  Текст: и  |  Количество раз: 319
Имя файла: В метре друг от друга.txt  |  Текст: и  |  Количество раз: 488
Имя файла: Горе от ума.txt  |  Текст: и  |  Количество раз: 317
Имя файла: Гранатовый браслет.txt  |  Текст: и  |  Количество раз: 531
Имя файла: Гроза.txt  |  Текст: и  |  Количество раз: 402
Имя файла: До встречи с тобой.txt  |  Текст: и  |  Количество раз: 627
Имя файла: Евгений Онегин.txt  |  Текст: и  |  Количество раз: 502
Имя файла: Женщины созданы, чтобы их….txt  |  Текст: и  |  Количество раз: 240
Имя файла: Граф Монте-Кристо.txt  |  Текст: и  |  Количество раз: 10527
Имя файла: Жертва.txt  |  Текст: и  |  Количество раз: 3
Имя файла: Запах золота.txt  |  Текст: и  |  Количество раз: 1226
Имя файла: Иди туда, где страшно. Именно там ты обретешь силу.txt  |  Текст: и  |  Количество раз: 458
Имя файла: Исповедь 'неполноценного' человека.txt  |  Текст: и  |  Количество раз: 672
Имя файла: Идиот.txt  |  Текст: и  |  Количество раз: 9319
Имя файла: К дзену на шпильках. Как создать новую жизнь и дело мечты с нуля.txt  |  Текст: и  |  Количество раз: 850
Имя файла: Как хочет женщина. Мастер-класс по науке секса.txt  |  Текст: и  |  Количество раз: 2
Имя файла: Капитанская дочка.txt  |  Текст: и  |  Количество раз: 1142
Имя файла: Капкан со всеми удобствами.txt  |  Текст: и  |  Количество раз: 2409
Имя файла: Карма любви. Вопросы о личных отношениях.txt  |  Текст: и  |  Количество раз: 780
Имя файла: Когда она ушла.txt  |  Текст: и  |  Количество раз: 351
Имя файла: Лолита.txt  |  Текст: и  |  Количество раз: 792
Имя файла: Магическая уборка. Японское искусство наведения порядка дома и в жизни.txt  |  Текст: и  |  Количество раз: 320
Имя файла: Мёртвые души.txt  |  Текст: и  |  Количество раз: 4667
Имя файла: Мятная сказка.txt  |  Текст: и  |  Количество раз: 95
Имя файла: Мы.txt  |  Текст: и  |  Количество раз: 1320
Имя файла: На дне.txt  |  Текст: и  |  Количество раз: 331
Имя файла: НЕ НОЙ.txt  |  Текст: и  |  Количество раз: 191
Имя файла: Недеросли.txt  |  Текст: и  |  Количество раз: 356
Имя файла: НИ СЫ.txt  |  Текст: и  |  Количество раз: 379
Имя файла: Обними меня крепче. 7 диалогов для любви на всю жизнь.txt  |  Текст: и  |  Количество раз: 350
Имя файла: Обломов.txt  |  Текст: и  |  Количество раз: 5704
Имя файла: Остров. Трилогия.txt  |  Текст: и  |  Количество раз: 6400
Имя файла: Отцы и дети.txt  |  Текст: и  |  Количество раз: 2014
Имя файла: Охота на самца. Выследить, заманить, приручить. Практическое руководство.txt  |  Текст: и  |  Количество раз: 573
Имя файла: П. Ш. #Новая жизнь. Обратного пути уже не будет!.txt  |  Текст: и  |  Количество раз: 300
Имя файла: Подсознание может всё!.txt  |  Текст: и  |  Количество раз: 130
Имя файла: Пока-я-не-Я. Практическое руководство по трансформации судьбы.txt  |  Текст: и  |  Количество раз: 267
Имя файла: Охотник Дарт. Тетралогия.txt  |  Текст: и  |  Количество раз: 13551
Имя файла: Попаданец. Гексалогия.txt  |  Текст: и  |  Количество раз: 9189
Имя файла: После.txt  |  Текст: и  |  Количество раз: 1117
Имя файла: Попал, так попал. Гексалогия.txt  |  Текст: и  |  Количество раз: 5051
Имя файла: Психология влияния.txt  |  Текст: и  |  Количество раз: 541
Имя файла: Преступление и наказание.txt  |  Текст: и  |  Количество раз: 7967
Имя файла: Путешествия Души.txt  |  Текст: и  |  Количество раз: 2122
Имя файла: Рейдер.txt  |  Текст: и  |  Количество раз: 886
Имя файла: Самый богатый человек в Вавилоне.txt  |  Текст: и  |  Количество раз: 243
Имя файла: Сила подсознания, или Как изменить жизнь за 4 недели.txt  |  Текст: и  |  Количество раз: 772
Имя файла: Сказать жизни 'Да!'.txt  |  Текст: и  |  Количество раз: 208
Имя файла: Тайная опора. Привязанность в жизни ребенка.txt  |  Текст: и  |  Количество раз: 508
Имя файла: Тонкое искусство пофигизма. Парадоксальный способ жить счастливо.txt  |  Текст: и  |  Количество раз: 170
Имя файла: Судьба или выбор.txt  |  Текст: и  |  Количество раз: 6318
Имя файла: Ученик.txt  |  Текст: и  |  Количество раз: 77
Имя файла: Фауст.txt  |  Текст: и  |  Количество раз: 1428
Имя файла: Холодный оружейник. Трилогия.txt  |  Текст: и  |  Количество раз: 4235
Имя файла: Шантарам.txt  |  Текст: и  |  Количество раз: 2675
Имя файла: Язык телодвижений. Как читать мысли окружающих по их жестам.txt  |  Текст: и  |  Количество раз: 997
Имя файла: #В постели с твоим мужем. Записки любовницы. Женам читать обязательно!.txt  |  Текст: и  |  Количество раз: 9
Имя файла: result.txt  |  Текст: и  |  Количество раз: 4
Имя файла: threadResult.txt  |  Текст: и  |  Количество раз: 71
Имя файла: Sapiens. Краткая история человечества.txt  |  Текст: и  |  Количество раз: 1263
Имя файла: Анна Каренина.txt  |  Текст: и  |  Количество раз: 12429
Имя файла: Белые ночи.txt  |  Текст: и  |  Количество раз: 583
Имя файла: Бедная Лиза.txt  |  Текст: и  |  Количество раз: 7270
Имя файла: Братья Карамазовы.txt  |  Текст: и  |  Количество раз: 13479
Имя файла: Бывшие. Книга о том, как класть на тех, кто хотел класть на тебя.txt  |  Текст: и  |  Количество раз: 319
Имя файла: Бродяга.txt  |  Текст: и  |  Количество раз: 2554
Имя файла: В метре друг от друга.txt  |  Текст: и  |  Количество раз: 488
Имя файла: Горе от ума.txt  |  Текст: и  |  Количество раз: 317
Имя файла: Гранатовый браслет.txt  |  Текст: и  |  Количество раз: 531
Имя файла: Гроза.txt  |  Текст: и  |  Количество раз: 402
Имя файла: До встречи с тобой.txt  |  Текст: и  |  Количество раз: 627
Имя файла: Евгений Онегин.txt  |  Текст: и  |  Количество раз: 502
Имя файла: Женщины созданы, чтобы их….txt  |  Текст: и  |  Количество раз: 240
Имя файла: Жертва.txt  |  Текст: и  |  Количество раз: 3
Имя файла: Граф Монте-Кристо.txt  |  Текст: и  |  Количество раз: 10527
Имя файла: Запах золота.txt  |  Текст: и  |  Количество раз: 1226
Имя файла: Иди туда, где страшно. Именно там ты обретешь силу.txt  |  Текст: и  |  Количество раз: 458
Имя файла: Исповедь 'неполноценного' человека.txt  |  Текст: и  |  Количество раз: 672
Имя файла: Идиот.txt  |  Текст: и  |  Количество раз: 9319
Имя файла: К дзену на шпильках. Как создать новую жизнь и дело мечты с нуля.txt  |  Текст: и  |  Количество раз: 850
Имя файла: Как хочет женщина. Мастер-класс по науке секса.txt  |  Текст: и  |  Количество раз: 2
Имя файла: Капитанская дочка.txt  |  Текст: и  |  Количество раз: 1142
Имя файла: Капкан со всеми удобствами.txt  |  Текст: и  |  Количество раз: 2409
Имя файла: Карма любви. Вопросы о личных отношениях.txt  |  Текст: и  |  Количество раз: 780
Имя файла: Когда она ушла.txt  |  Текст: и  |  Количество раз: 351
Имя файла: Лолита.txt  |  Текст: и  |  Количество раз: 792
Имя файла: Магическая уборка. Японское искусство наведения порядка дома и в жизни.txt  |  Текст: и  |  Количество раз: 320
Имя файла: Мёртвые души.txt  |  Текст: и  |  Количество раз: 4667
Имя файла: Мятная сказка.txt  |  Текст: и  |  Количество раз: 95
Имя файла: Мы.txt  |  Текст: и  |  Количество раз: 1320
Имя файла: На дне.txt  |  Текст: и  |  Количество раз: 331
Имя файла: НЕ НОЙ.txt  |  Текст: и  |  Количество раз: 191
Имя файла: Недеросли.txt  |  Текст: и  |  Количество раз: 356
Имя файла: НИ СЫ.txt  |  Текст: и  |  Количество раз: 379
Имя файла: Обними меня крепче. 7 диалогов для любви на всю жизнь.txt  |  Текст: и  |  Количество раз: 350
Имя файла: Обломов.txt  |  Текст: и  |  Количество раз: 5704
Имя файла: Остров. Трилогия.txt  |  Текст: и  |  Количество раз: 6400
Имя файла: Отцы и дети.txt  |  Текст: и  |  Количество раз: 2014
Имя файла: Охота на самца. Выследить, заманить, приручить. Практическое руководство.txt  |  Текст: и  |  Количество раз: 573
Имя файла: П. Ш. #Новая жизнь. Обратного пути уже не будет!.txt  |  Текст: и  |  Количество раз: 300
Имя файла: Подсознание может всё!.txt  |  Текст: и  |  Количество раз: 130
Имя файла: Пока-я-не-Я. Практическое руководство по трансформации судьбы.txt  |  Текст: и  |  Количество раз: 267
Имя файла: Охотник Дарт. Тетралогия.txt  |  Текст: и  |  Количество раз: 13551
Имя файла: Попаданец. Гексалогия.txt  |  Текст: и  |  Количество раз: 9189
Имя файла: После.txt  |  Текст: и  |  Количество раз: 1117
Имя файла: Попал, так попал. Гексалогия.txt  |  Текст: и  |  Количество раз: 5051
Имя файла: Психология влияния.txt  |  Текст: и  |  Количество раз: 541
Имя файла: Преступление и наказание.txt  |  Текст: и  |  Количество раз: 7967
Имя файла: Путешествия Души.txt  |  Текст: и  |  Количество раз: 2122
Имя файла: Рейдер.txt  |  Текст: и  |  Количество раз: 886
Имя файла: Самый богатый человек в Вавилоне.txt  |  Текст: и  |  Количество раз: 243
Имя файла: Сила подсознания, или Как изменить жизнь за 4 недели.txt  |  Текст: и  |  Количество раз: 772
Имя файла: Сказать жизни 'Да!'.txt  |  Текст: и  |  Количество раз: 208
Имя файла: Тайная опора. Привязанность в жизни ребенка.txt  |  Текст: и  |  Количество раз: 508
Имя файла: Тонкое искусство пофигизма. Парадоксальный способ жить счастливо.txt  |  Текст: и  |  Количество раз: 170
Имя файла: Судьба или выбор.txt  |  Текст: и  |  Количество раз: 6318
Имя файла: Ученик.txt  |  Текст: и  |  Количество раз: 77
Имя файла: Фауст.txt  |  Текст: и  |  Количество раз: 1428
Имя файла: Холодный оружейник. Трилогия.txt  |  Текст: и  |  Количество раз: 4235
Имя файла: Шантарам.txt  |  Текст: и  |  Количество раз: 2675
Имя файла: Язык телодвижений. Как читать мысли окружающих по их жестам.txt  |  Текст: и  |  Количество раз: 997
Имя файла: #В постели с твоим мужем. Записки любовницы. Женам читать обязательно!.txt  |  Текст: и  |  Количество раз: 9
Имя файла: result.txt  |  Текст: и  |  Количество раз: 4
Имя файла: threadResult.txt  |  Текст: и  |  Количество раз: 140
Имя файла: Sapiens. Краткая история человечества.txt  |  Текст: и  |  Количество раз: 1263
Имя файла: Анна Каренина.txt  |  Текст: и  |  Количество раз: 12429
Имя файла: Белые ночи.txt  |  Текст: и  |  Количество раз: 583
